排名,商品名,价格,周期销量,周期GMV,总销量,总GMV,佣金率,上架天数,店铺,品类,店铺评分,评论数
1,Charm Huggie Hoop Earrings Set,6.99,38600,269814,152000,1023000,22,18,StyleNovaUS,珠宝及饰品,4.8,32100
2,Dainty Layered Necklace Gold,8.49,31200,264888,98000,812000,25,25,JewelTrend,珠宝及饰品,4.9,28700
3,Minimalist Pearl Chain Necklace,7.99,27400,218926,86000,688000,20,32,GlowAura,珠宝及饰品,4.7,19400
4,CZ Stud Earrings 4 Pairs,5.99,24100,144259,120000,700000,28,12,SparkleDeal,珠宝及饰品,4.6,45800
5,Adjustable Beaded Bracelet Stack,9.99,19800,197802,74000,720000,30,45,BohoBeadsUS,珠宝及饰品,4.8,15300
6,Gold Initial Necklace Custom,12.99,17600,228624,61000,790000,18,60,NameItJewelry,珠宝及饰品,4.9,22100
7,Tennis Bracelet Silver Cubic,15.99,16200,258948,55000,880000,15,85,GemLine,珠宝及饰品,4.7,12800
8,Scrunchies Velvet Hair Ties Set,4.99,42100,210079,210000,1050000,35,8,HairVogue,发饰,4.5,67300
9,Butterfly Hair Claw Clips,3.99,38700,154413,195000,780000,32,15,HairVogue,发饰,4.5,58900
10,Chunky Chain Anklet Gold,8.99,12500,112375,42000,370000,24,70,CoastalJewels,珠宝及饰品,4.6,9400
11,Stackable Ring Set 10Pcs,11.99,14300,171457,51000,610000,26,40,SparkleDeal,珠宝及饰品,4.6,17600
12,Heart Lock Pendant Necklace,13.99,8600,120314,33000,460000,20,95,LoveMuse,珠宝及饰品,4.8,7600
13,Boho Tassel Earrings,7.49,15200,113848,56000,410000,27,28,StyleNovaUS,珠宝及饰品,4.7,11900
14,Silicone Bead Teething Necklace,9.49,10900,103441,47000,440000,19,120,LittleMomUS,珠宝及饰品,4.4,8800
15,14K Gold Plated Hoop Earrings,22.99,6700,153983,28000,640000,12,150,AureliaFine,珠宝及饰品,4.9,5300
16,Moon & Star Charm Bracelet,10.49,9800,102802,39000,400000,23,55,GlowAura,珠宝及饰品,4.7,9100
17,Knotted Rope Bracelet Gold,7.99,12400,99076,45000,350000,29,38,CoastalJewels,珠宝及饰品,4.6,10200
18,Waterproof Stainless Necklace,16.99,5400,91746,21000,350000,14,200,SteelChic,珠宝及饰品,4.8,4200
19,Letter Bead Name Bracelet,12.49,8800,109912,30000,370000,25,65,NameItJewelry,珠宝及饰品,4.9,8300
20,Pearl Drop Earrings Vintage,18.99,4700,89253,19000,350000,11,180,GemLine,珠宝及饰品,4.7,3600
21,Cross Pendant Men Necklace,15.99,7600,121524,29000,460000,17,90,AureliaFine,珠宝及饰品,4.8,6800
22,Crystal Hair Pin Set,6.49,21300,138237,95000,600000,31,22,HairVogue,发饰,4.5,26700
23,Gold Shell Necklace Summer,8.99,11900,106981,44000,390000,26,48,CoastalJewels,珠宝及饰品,4.6,10500
24,French Clip Hair Claw Large,5.99,27800,166522,130000,770000,33,11,HairVogue,发饰,4.5,43200
