rank,name,price,sales7,gmv7,sales_total,gmv_total,commission,listed_days,shop,category,rating,reviews,sales_growth,source,price_score,growth_score,commission_score,competition_score,lifecycle_score,shop_score,market_heat,viability,potential,markers
4,"#1 Bracelets, earrings, etc. 8/18",12.0,594.0,7128.0,594.0,7128.0,,4,Letis Love,时尚配件,,,,products_new_us.csv,100.0,82.4,60.0,20.0,100.0,60.0,87.7,66.0,72.7,暴涨新星;价格战红海
5,Auction!!!Only 1$!!!gogogo!!!,12.0,561.0,20400.0,564.0,6768.0,,4,Beam Jewelry,时尚配件,,,,products_new_us.csv,100.0,81.0,60.0,20.0,100.0,60.0,86.7,66.0,72.3,暴涨新星;价格战红海
369,"Jelly Cat Baseball Plush Bag Charm Collection, Adorable Plush Keychain, Cute Soft Coffee Bag Accessory, Adorable Cloud Gift for Her, Bag Charm",15.6,4.0,62.4,4.0,56.24,20.0,4,Cuddle Loop,时尚配件,,,,products_new_us.csv,100.0,59.0,100.0,20.0,100.0,60.0,71.3,76.0,71.7,价格战红海;高佣爆款
11,14K GOLD FINISH-GREEN,10.0,397.0,3970.0,410.0,4100.0,,4,GoldenHour,时尚配件,,,,products_new_us.csv,100.0,74.0,60.0,20.0,100.0,60.0,81.8,66.0,70.2,价格战红海
124,"Alphabet Letter Necklace - Double Layer Custom Initial Pendant with Stainless Steel Cuban Link Chain, Fashion Pendant Necklace for Party Wear, Stainless Steel Jewelry",11.98,28.0,335.44,28.0,335.44,16.5,4,GJK2 shop,时尚配件,,,,products_new_us.csv,100.0,60.0,82.5,20.0,100.0,60.0,72.0,71.6,69.4,价格战红海;高佣爆款
405,"Men's 2-in-1 Photochromic Semi-Rim Square Eyeglasses - Blue Light Blocking Indoor-Outdoor Glasses, Auto-Darken UV-Shielding Sunglasses with Free Leather Case & Lens Cloth",9.99,3.0,29.97,3.0,29.97,17.0,4,ChromaVue,时尚配件,,,,products_new_us.csv,100.0,59.0,85.0,20.0,100.0,60.0,71.3,72.2,69.4,价格战红海;高佣爆款
128,"Women's Trendy Checkered Vegan Leather Belt Bag with Adjustable Strap, Aesthetic Crossbody Sling Chest Purse, Casual Waist Handbag for Holiday Travel Festival Essentials,clothes for back to school,first day of school outfits",13.99,26.0,363.74,26.0,363.74,16.5,4,TRUE78 shop,时尚配件,,,,products_new_us.csv,100.0,59.9,82.5,20.0,100.0,60.0,71.9,71.6,69.3,价格战红海;高佣爆款
213,"Stylish Oval Cross Metal Buckle Belt - Durable, Simple, and Universally Compatible - Unisex Gift Idea for Men and Women",8.4,11.0,91.96,11.0,91.96,16.5,4,Leather Lanee,时尚配件,,,,products_new_us.csv,100.0,59.3,82.5,20.0,100.0,60.0,71.5,71.6,69.2,价格战红海;高佣爆款
219,"Retro Men's Belt Bohemian Style - Fashion Personalized Belt For Men Women Punk Rock Y2K Belts - For Jeans, Dresses & Casual Wear",9.1,11.0,100.32,11.0,100.32,16.5,4,Leather Lanee,时尚配件,,,,products_new_us.csv,100.0,59.3,82.5,20.0,100.0,60.0,71.5,71.6,69.2,价格战红海;高佣爆款
229,"Royal Blue 1988 Los Angeles Embroidered Snapback Cap - Polyester Blend-Cotton, Daily Letter Embroidery Hat for Teens, Retro Streetwise Sun Protection Skateboard Cap, 1988 Embroidery, Baseball Cap",6.0,10.0,70.7,10.0,70.7,16.5,4,MinimalGleam-H,时尚配件,,,,products_new_us.csv,100.0,59.3,82.5,20.0,100.0,60.0,71.5,71.6,69.2,价格战红海;高佣爆款
